interval_start,trade_id,market_id,side,entry_odds,fair_probability,edge,btc_price_entry,btc_price_close,bet_size,balance_before,balance_after,outcome,payout,profit_loss,resolved_outcome,mode
2025-12-17T08:00:00+00:00,BT-00132,SYN-202512170800,DOWN,0.4762,0.5200,0.0534,87045.59,86800.00,10.00,717.21,728.00,WIN,20.79,10.79,DOWN,BACKTEST
2025-12-17T10:45:00+00:00,BT-00133,SYN-202512171045,UP,0.4831,0.5200,0.0465,86719.89,86624.49,10.00,728.00,718.00,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-17T13:30:00+00:00,BT-00134,SYN-202512171330,UP,0.4807,0.5200,0.0489,87096.04,87378.10,10.00,718.00,728.60,WIN,20.59,10.59,UP,BACKTEST
2025-12-17T14:15:00+00:00,BT-00135,SYN-202512171415,UP,0.4847,0.5500,0.0787,87583.89,87722.88,10.00,728.60,739.02,WIN,20.43,10.43,UP,BACKTEST
2025-12-17T14:45:00+00:00,BT-00136,SYN-202512171445,DOWN,0.4725,0.5500,0.0931,87496.06,89675.85,10.00,739.02,729.02,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-17T15:15:00+00:00,BT-00137,SYN-202512171515,DOWN,0.4654,0.5500,0.1014,90196.49,89921.90,10.00,729.02,740.29,WIN,21.27,11.27,DOWN,BACKTEST
2025-12-17T15:45:00+00:00,BT-00138,SYN-202512171545,DOWN,0.4738,0.5500,0.0916,88707.76,87233.44,10.00,740.29,751.19,WIN,20.90,10.90,DOWN,BACKTEST
2025-12-17T16:15:00+00:00,BT-00139,SYN-202512171615,DOWN,0.4965,0.5500,0.0649,86976.00,86355.19,10.00,751.19,761.13,WIN,19.94,9.94,DOWN,BACKTEST
2025-12-17T17:00:00+00:00,BT-00140,SYN-202512171700,DOWN,0.4954,0.5500,0.0661,86986.50,86660.06,10.00,761.13,771.12,WIN,19.98,9.98,DOWN,BACKTEST
2025-12-17T18:45:00+00:00,BT-00141,SYN-202512171845,DOWN,0.4696,0.5200,0.0612,85938.46,85829.22,10.00,771.12,782.20,WIN,21.08,11.08,DOWN,BACKTEST
2025-12-17T19:15:00+00:00,BT-00142,SYN-202512171915,UP,0.4864,0.5500,0.0767,85521.70,85708.97,10.00,782.20,792.55,WIN,20.35,10.35,UP,BACKTEST
2025-12-17T19:45:00+00:00,BT-00143,SYN-202512171945,UP,0.4979,0.5500,0.0632,85641.54,86018.53,10.00,792.55,802.43,WIN,19.88,9.88,UP,BACKTEST
2025-12-17T20:15:00+00:00,BT-00144,SYN-202512172015,UP,0.5243,0.5500,0.0353,85685.07,86139.53,10.00,802.43,811.32,WIN,18.88,8.88,UP,BACKTEST
2025-12-17T22:15:00+00:00,BT-00145,SYN-202512172215,UP,0.4940,0.5200,0.0356,86064.78,86251.63,10.00,811.32,821.36,WIN,20.04,10.04,UP,BACKTEST
2025-12-17T23:00:00+00:00,BT-00146,SYN-202512172300,DOWN,0.4882,0.5200,0.0414,86339.10,86001.02,10.00,821.36,831.64,WIN,20.28,10.28,DOWN,BACKTEST
2025-12-18T03:00:00+00:00,BT-00147,SYN-202512180300,DOWN,0.4855,0.5200,0.0441,86699.64,86598.17,10.00,831.64,842.03,WIN,20.39,10.39,DOWN,BACKTEST
2025-12-18T09:00:00+00:00,BT-00148,SYN-202512180900,DOWN,0.4601,0.5200,0.0723,86978.98,86820.00,10.00,842.03,853.54,WIN,21.52,11.52,DOWN,BACKTEST
2025-12-18T09:30:00+00:00,BT-00149,SYN-202512180930,UP,0.5009,0.5500,0.0597,87012.76,87372.43,10.00,853.54,863.31,WIN,19.77,9.77,UP,BACKTEST
2025-12-18T11:00:00+00:00,BT-00150,SYN-202512181100,DOWN,0.4779,0.5200,0.0517,87342.00,87124.59,10.00,863.31,874.02,WIN,20.71,10.71,DOWN,BACKTEST
2025-12-18T12:30:00+00:00,BT-00151,SYN-202512181230,UP,0.5029,0.5500,0.0573,87143.15,87360.01,10.00,874.02,883.71,WIN,19.69,9.69,UP,BACKTEST
2025-12-18T13:15:00+00:00,BT-00152,SYN-202512181315,DOWN,0.5154,0.5500,0.0442,87899.98,87637.61,10.00,883.71,892.92,WIN,19.21,9.21,DOWN,BACKTEST
2025-12-18T14:00:00+00:00,BT-00153,SYN-202512181400,UP,0.5097,0.5500,0.0499,88851.70,88144.70,10.00,892.92,882.92,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-18T15:30:00+00:00,BT-00154,SYN-202512181530,DOWN,0.4690,0.5500,0.0971,88599.94,89077.12,10.00,882.92,872.92,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-18T17:00:00+00:00,BT-00155,SYN-202512181700,DOWN,0.4840,0.5500,0.0795,88014.00,86381.18,10.00,872.92,883.37,WIN,20.45,10.45,DOWN,BACKTEST
2025-12-18T17:30:00+00:00,BT-00156,SYN-202512181730,UP,0.4854,0.5500,0.0779,85902.98,86463.51,10.00,883.37,893.77,WIN,20.40,10.40,UP,BACKTEST
2025-12-18T18:15:00+00:00,BT-00157,SYN-202512181815,DOWN,0.4731,0.5500,0.0923,86723.24,86397.42,10.00,893.77,904.70,WIN,20.92,10.92,DOWN,BACKTEST
2025-12-18T18:45:00+00:00,BT-00158,SYN-202512181845,DOWN,0.4930,0.5500,0.0690,86486.98,85970.00,10.00,904.70,914.78,WIN,20.08,10.08,DOWN,BACKTEST
2025-12-18T19:15:00+00:00,BT-00159,SYN-202512181915,DOWN,0.4982,0.5500,0.0628,85649.99,85656.56,10.00,914.78,904.78,LOSS,0.00,-10.00,UP,BACKTEST
